"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
5218194,"WIS","","","PreservedSpecimen","8ac8f698-f091-4ae7-a308-56b561115cc6","v0164802WIS","273311","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Koeppen, Robert",NA,"","436","1957-06-22",1957,6,22,173,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Dane","","[SE of Springfield Corners]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36372d2-f95b-11e2-9dec-002590257708",198,"urn:uuid:8ac8f698-f091-4ae7-a308-56b561115cc6","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5218194"
5218303,"WIS","","","PreservedSpecimen","181ebb67-0eda-4ad1-83ab-0462fef9c5d9","v0164798WIS","273307","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Bard, L.",NA,"","s.n.","1956-06-30",1956,6,30,182,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Green","","[SE of Albany]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3636b70-f95b-11e2-9dec-002590257708",198,"urn:uuid:181ebb67-0eda-4ad1-83ab-0462fef9c5d9","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5218303"
5218953,"WIS","","","PreservedSpecimen","80d4c5a3-efc3-4c5f-88e1-7ce81f4a5a56","v0164774WIS","273283","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Thomson, John W., Jr.",NA,"","s.n.","1937-08-25",1937,8,25,237,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Juneau","","3mi. N of Armenia. [R06E - original in error]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36331b4-f95b-11e2-9dec-002590257708",198,"urn:uuid:80d4c5a3-efc3-4c5f-88e1-7ce81f4a5a56","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5218953"
5225759,"WIS","","","PreservedSpecimen","4d1820f5-eed8-4fc4-9203-f55808e15703","v0164755WIS","273264","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Thomson, John W., Jr.",NA,"","s.n.","1936-06-13",1936,6,13,165,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Juneau","","S of Mauston.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36309c8-f95b-11e2-9dec-002590257708",198,"urn:uuid:4d1820f5-eed8-4fc4-9203-f55808e15703","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5225759"
5226901,"WIS","","","PreservedSpecimen","07aa025d-50be-4427-b2ec-87b9dd294b2b","v0164724WIS","273233","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Davis, J.",NA,"","s.n.","1917-06-21",1917,6,21,172,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Juneau","","Necedah","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c362c954-f95b-11e2-9dec-002590257708",198,"urn:uuid:07aa025d-50be-4427-b2ec-87b9dd294b2b","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5226901"
5231045,"WIS","","","PreservedSpecimen","314c8b2f-60a2-4297-bda4-64508e0c3845","v0164709WIS","273218","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Melchert, Thomas",NA,"","s.n.","1958-06-30",1958,6,30,181,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Shawano","","CTH H, 1mi. E of Shawano County Park.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c362a37a-f95b-11e2-9dec-002590257708",198,"urn:uuid:314c8b2f-60a2-4297-bda4-64508e0c3845","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5231045"
5232868,"WIS","","","PreservedSpecimen","4c3482bb-8f84-497e-b189-6486a2acff20","v0164698WIS","273207","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Lansing, O.E., Jr.",NA,"","3401","",NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Richland","","0.25 mi. E of Richland Center.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3628c46-f95b-11e2-9dec-002590257708",198,"urn:uuid:4c3482bb-8f84-497e-b189-6486a2acff20","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5232868"
5233251,"WIS","","","PreservedSpecimen","212145b1-8190-420b-88db-85d12f861122","v0164825WIS","273334","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Schenk, Ray; Niss, H.",NA,"","s.n.","1942-06-12",1942,6,12,163,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Waukesha","","Weykes Farm, vicinity of Dousman (Ottawa Twp.).","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c363de52-f95b-11e2-9dec-002590257708",198,"urn:uuid:212145b1-8190-420b-88db-85d12f861122","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5233251"
5234186,"WIS","","","PreservedSpecimen","6803a446-9afd-47b5-b972-12cf2ee86dab","v0164723WIS","273232","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Marks, J.",NA,"","s.n.","1939-07-14",1939,7,14,195,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Vernon","","Coon Valley","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c362c774-f95b-11e2-9dec-002590257708",198,"urn:uuid:6803a446-9afd-47b5-b972-12cf2ee86dab","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5234186"
5234415,"WIS","","","PreservedSpecimen","a4c9759a-b0d6-458d-a9d8-a4324cb81310","v0164800WIS","273309","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Seymour, Frank",NA,"","11486","1950-06-30",1950,6,30,181,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Portage","","Almond Twp.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3636f3a-f95b-11e2-9dec-002590257708",198,"urn:uuid:a4c9759a-b0d6-458d-a9d8-a4324cb81310","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5234415"
