"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
10884646,"MO","","MOBOT","PreservedSpecimen","urn:catalog:MO:Tropicos:3528434","3528434","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Viktor Muehlenbach",NA,"","Muehlenbach 2358","1964-06-14",1964,6,14,166,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Missouri","Saint Louis City","","St. Louis, Ranken Yard, E of Compton Avenue in the lower part of the yard; one specimen","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2011-06-21 05:13:00","urn:catalog:MO:Tropicos:3528434",157,"urn:uuid:14b4ccbb-ede4-4b1f-b547-0e5b83e6acb0","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=10884646"
10917774,"MO","","MOBOT","PreservedSpecimen","urn:catalog:MO:Tropicos:1387557","1387557","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","John K. Myers",NA,"","Myers 1063","1999-09-30",1999,9,30,273,NA,"","","","","","27","",NA,"","","","",NA,"",NA,1,NA,NA,"","United States","Washington","Okanogan","","John Myers garden. 211 East 4th St., Twisp, WA 98856.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2008-05-27 22:02:00","urn:catalog:MO:Tropicos:1387557",157,"urn:uuid:e323f0f7-4371-4847-83bf-fedfa15f49cd","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=10917774"
3847570,"APSC","","","PreservedSpecimen","59a04238-5e19-482a-9810-ee531b60272e","0001658","00005904","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Joey Shaw, and Dwayne Estes",NA,"","","2012-10-20",2012,10,20,294,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Georgia","Catoosa","","North of the pistol range buildings. Waypoint #: 342","",NA,NA,34.915422,-85.062401,"",NA,"34.915422, 85.062401","","","","","",241,NA,NA,NA,NA,"792 ft.","","","","2015-01-06 14:31:47","",170,"urn:uuid:59a04238-5e19-482a-9810-ee531b60272e","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3847570"
3847574,"APSC","","","PreservedSpecimen","00dfb75f-32e2-4b4c-8aab-fbe69c8f4cfa","0001662","00001551","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","R E Shanks",NA,"","1259","1941-10-19",1941,10,19,292,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Tennessee","Lake","","Gray's Landing, Reelfoot Lake.","",NA,NA,NA,NA,"",NA,",","","","","","",NA,NA,NA,NA,NA,"","","","","2017-04-18 16:40:29","",170,"urn:uuid:00dfb75f-32e2-4b4c-8aab-fbe69c8f4cfa","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3847574"
4600785,"CMC","","","PreservedSpecimen","72b49089-7182-422a-aa61-51f1ddcfd888","CMC00015196","020795","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","E.G. Voss","1992","","","Ground cherry","","","J.S.M.",NA,"","s.n.","1977-10-09",1977,10,9,282,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Michigan","Saginaw","","Brant township.","",0,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","LeilaSiciliano","2015-08-25 17:37:37","",191,"urn:uuid:72b49089-7182-422a-aa61-51f1ddcfd888","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4600785"
4600786,"CMC","","","PreservedSpecimen","48277605-4d0e-417a-bea9-9aea14ac9a32","CMC00015197","020788","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","E.G. Voss","1992","","","Ground cherry","","","J.S.M.",NA,"","s.n.","1977-10-09",1977,10,9,282,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Michigan","Saginaw","","Brant township.","",0,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","LeilaSiciliano","2015-08-25 17:25:01","",191,"urn:uuid:48277605-4d0e-417a-bea9-9aea14ac9a32","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4600786"
7412549,"EKY","","","PreservedSpecimen","2f55d9f2-0319-4f2f-be8c-1c0f3fc1e486","31234100674421","EKY79334","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","W. W. Overbeck",NA,"","551","2010-06-08",2010,6,8,159,NA,"","M.S. Thesis Voucher","Xeric Prairie","Dolomitic foothills","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Kentucky","Garrard","","Hilltop Road Cedar Glade","",NA,NA,37.541544,-84.517753,"",NA,"37°32'29.56""; 84°31'3.91""","","","","","",NA,NA,NA,NA,NA,"","","","lameace_hussain","2015-09-15 14:20:57","",193,"urn:uuid:2f55d9f2-0319-4f2f-be8c-1c0f3fc1e486","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7412549"
4936549,"WIS","","","PreservedSpecimen","750bdb36-4167-4b6f-81a4-8d64fff85286","v0164609WIS","273118","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Ruzicki, Gerald",NA,"","s.n.","1964-09-27",1964,9,27,271,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Kenosha","","2mi. S of Kenosha in Pleasant Prairie Twp.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3619a3e-f95b-11e2-9dec-002590257708",198,"urn:uuid:750bdb36-4167-4b6f-81a4-8d64fff85286","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4936549"
4942750,"WIS","","","PreservedSpecimen","1af0cf4b-623b-4211-90bc-146ea2080ebd","v0164608WIS","273117","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Goessl, Chas.",NA,"","s.n.","1914-06-30",1914,6,30,181,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Sheboygan","","Sheboygan","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c361985e-f95b-11e2-9dec-002590257708",198,"urn:uuid:1af0cf4b-623b-4211-90bc-146ea2080ebd","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4942750"
4999999,"WIS","","","PreservedSpecimen","e21d6208-2588-478b-baf9-0b540e507ea5","v0164607WIS","273116","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","",NA,"","s.n.","1870-08-03",1870,8,3,215,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Sheboygan","","Lighthouse","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3619688-f95b-11e2-9dec-002590257708",198,"urn:uuid:e21d6208-2588-478b-baf9-0b540e507ea5","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4999999"
