"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
4941868,"WIS","","","PreservedSpecimen","055fc106-ff32-48f7-a1be-33c78cb611de","v0177646WIS","286136","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Konkel, Deborah",NA,"","0763","1992-07-11",1992,7,11,193,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Trempealeau","","Brady's Bluff Prairie [Perrot State Park]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c47b29a8-f95b-11e2-9dec-002590257708",198,"urn:uuid:055fc106-ff32-48f7-a1be-33c78cb611de","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4941868"
4942367,"WIS","","","PreservedSpecimen","3865451e-242a-4647-b509-33a3ed380a75","v0164602WIS","273111","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Seymour, Frank",NA,"","10107","1948-07-24",1948,7,24,206,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Outagamie","","Appleton","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3618d32-f95b-11e2-9dec-002590257708",198,"urn:uuid:3865451e-242a-4647-b509-33a3ed380a75","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4942367"
4943363,"WIS","","","PreservedSpecimen","b5da8245-cc7c-4782-98fb-0cfd0662200f","v0164356WIS","272865","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Buss, Irven",NA,"","s.n.","1940-07-08",1940,7,8,190,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Dunn","","SE of Falk City [Falls City]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c35f1e8a-f95b-11e2-9dec-002590257708",198,"urn:uuid:b5da8245-cc7c-4782-98fb-0cfd0662200f","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4943363"
4944761,"WIS","","","PreservedSpecimen","23639647-f2c9-4c9f-b93d-72f00b22d141","v0164564WIS","273073","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Neidermyer, W.",NA,"","04","1969-07-26",1969,7,26,207,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Door","","Along A&W RR, W of CTH S. [NE of Maplewood]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3613fa8-f95b-11e2-9dec-002590257708",198,"urn:uuid:23639647-f2c9-4c9f-b93d-72f00b22d141","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4944761"
4944916,"WIS","","","PreservedSpecimen","90b31cfe-0e38-4ba7-a4fc-c372123acef9","v0164393WIS","272902","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Hansen, H.",NA,"","168","1929-07-21",1929,7,21,202,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Vernon","","Viroqua","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c35f86a4-f95b-11e2-9dec-002590257708",198,"urn:uuid:90b31cfe-0e38-4ba7-a4fc-c372123acef9","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4944916"
4945439,"WIS","","","PreservedSpecimen","2724fe3b-0188-4a00-97b5-95b59e087297","v0164504WIS","273013","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Rill, Katherine",NA,"","s.n.","1959-06-12",1959,6,12,163,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Waupaca","","Twp. of Larrabee. Near Pigeon Lake.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c360c014-f95b-11e2-9dec-002590257708",198,"urn:uuid:2724fe3b-0188-4a00-97b5-95b59e087297","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4945439"
4947393,"WIS","","","PreservedSpecimen","b9679936-7ce1-47d1-84b1-22da36d903ea","v0164600WIS","273109","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Peterson, Alvin",NA,"","186","1957-07-02",1957,7,2,183,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","La Crosse","","Onalaska Twp.","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3618968-f95b-11e2-9dec-002590257708",198,"urn:uuid:b9679936-7ce1-47d1-84b1-22da36d903ea","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4947393"
4947610,"WIS","","","PreservedSpecimen","a256ff43-a64b-41c4-8b9b-8bb66103fc94","v0000116WIS","110296","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Lapham, I.",NA,"","s.n.","",NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Milwaukee","","Milwaukee","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","b1ceb414-f95b-11e2-9dec-002590257708",198,"urn:uuid:a256ff43-a64b-41c4-8b9b-8bb66103fc94","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4947610"
4949473,"WIS","","","PreservedSpecimen","7e672d73-1bfc-4cee-ada4-3a628c2c0b5a","v0164590WIS","273099","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Seymour, Frank",NA,"","15997","1954-07-23",1954,7,23,204,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Lincoln","","Tomahawk","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c36176bc-f95b-11e2-9dec-002590257708",198,"urn:uuid:7e672d73-1bfc-4cee-ada4-3a628c2c0b5a","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4949473"
4950544,"WIS","","","PreservedSpecimen","e7512d1b-9dc5-4d4b-976c-5edb469cb47a","v0164488WIS","272997","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Iltis, Hugh; Trenk, George; Noamesi, Gottlieb",NA,"","6175","1956-07-14",1956,7,14,196,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Marquette","","SW shore of Ennis Lake [S of Glen Oak]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3606704-f95b-11e2-9dec-002590257708",198,"urn:uuid:e7512d1b-9dc5-4d4b-976c-5edb469cb47a","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4950544"
4954637,"WIS","","","PreservedSpecimen","83446e4a-da91-4e5f-82ad-c730637e2b97","v0208681WIS","317132","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Judziewicz, Emmet; Kopitzke, David",NA,"","13724","2000-06-25",2000,6,25,177,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Door","","Chambers Island, Sand Point","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c7f96e8c-f95b-11e2-9dec-002590257708",198,"urn:uuid:83446e4a-da91-4e5f-82ad-c730637e2b97","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4954637"
4958522,"WIS","","","PreservedSpecimen","bcb1135c-b73b-4e83-9249-ad1347c334cf","v0164587WIS","273096","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Smith, Huron",NA,"","8003","1922-08-05",1922,8,5,217,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Sauk","","Prairie du Sac","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3617112-f95b-11e2-9dec-002590257708",198,"urn:uuid:bcb1135c-b73b-4e83-9249-ad1347c334cf","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4958522"
4960411,"WIS","","","PreservedSpecimen","3133893c-5f3f-476f-ad67-a6fe5487c89a","v0164552WIS","273061","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Ryckman, R.; Ryckman, J.",NA,"","04","1961-08-04",1961,8,4,216,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Wisconsin","Lafayette","","[SSE of Shullsburg]","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-10-16 04:21:13","c3611c76-f95b-11e2-9dec-002590257708",198,"urn:uuid:3133893c-5f3f-476f-ad67-a6fe5487c89a","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4960411"
